Код_товара;Идентификатор_товара;Наличие;Цена;Валюта;Ключевые_слова;Единица_измерения;Название_позиции;Производитель;Ссылка_изображения;Страна_производитель;Тип_товара;Описание;Адрес_подраздела;Атрибут_Вес(кг);Атрибут_Вид нагревательного кабеля;Атрибут_Вид основного сырья;Атрибут_Виды индикации;Атрибут_Время зарядки (час);Атрибут_Гарантийный срок(мес.);Атрибут_Год выпуска;Атрибут_Дистанция пробега (км);Атрибут_Допустимая пиковая мощность (Вт);Атрибут_Защита от короткого замыкания;Атрибут_Защита от перегрева;Атрибут_Защита от перегрузок;Атрибут_Защита от переполюсовки;Атрибут_Защита от разряда аккумуляторной батареи;Атрибут_Класс материала по теплопроводности;Атрибут_Количество жил;Атрибут_Количество колес (шт.);Атрибут_Количество скоростей (шт.);Атрибут_Количество теплообменников (шт.);Атрибут_Конструктивное исполнение бака;Атрибут_Коэффициент преобразования;Атрибут_КПД,не менее (%);Атрибут_Максимальная мощность (Вт/м);Атрибут_Максимальная скорость (км/ч);Атрибут_Максимальная температура в баке (град.);Атрибут_Максимальная температура теплоносителя в;Атрибут_Максимальное давление в баке (бар);Атрибут_Максимальное давление теплообменника (ба;Атрибут_Максимальное рабочее давление (бар);Атрибут_Максимальный напор (м);Атрибут_Марка;Атрибут_Материал бака-аккумулятора;Атрибут_Материал изоляции;Атрибут_Материал корпуса;Атрибут_Материал рабочего колеса;Атрибут_Материал теплообменника;Атрибут_Минимальная рабочая температура (град.);Атрибут_Минимальный радиус изгиба (мм);Атрибут_Модель;Атрибут_Мощность электродвигателя (Вт);Атрибут_Напряжение сети;Атрибут_Номинальная мощность (Вт);Атрибут_Номинальное входное напряжение;Атрибут_Номинальное выходное напряжение;Атрибут_Номинальный ток (А);Атрибут_Область применения нагревательного кабел;Атрибут_Общая мощность теплообменника (кВт);Атрибут_Общая площадь поверхности теплообменника;Атрибут_Объем бака (л);Атрибут_Объем расширительного бака (л);Атрибут_Перекачиваемые среды;Атрибут_Переключение скоростей;Атрибут_Плавный пуск двигателя;Атрибут_Расположение бака;Атрибут_Рекомендуемая предельная скорость (км/ч);Атрибут_С заменяемой мембраной;Атрибут_Способ установки;Атрибут_Степень защиты IP;Атрибут_Теплопроводность (Вт/мК);Атрибут_Тип затвора;Атрибут_Тип коллектора;Атрибут_Тип материала;Атрибут_Тип присоединения;Атрибут_Тип ротора;Атрибут_Ток холостого хода (А);Атрибут_Установка насоса;Атрибут_Форма выходного напряжения;Атрибут_Форма поставки материала;Атрибут_Частота (Гц);Атрибут_Частота тока (Гц);Атрибут_Экологическая безопасность материала;Атрибут_Экранированный кабель;Возможность_поставки;Идентификатор_группы;Идентификатор_подраздела;Минимальный_заказ_опт;Минимальный_объем_заказа;Номер_группы;Скидка;Способ_упаковки;Срок_поставки;Уникальный_идентификатор;
"Тепро-30П";"Тепро-30П";"-";"1,90";"EUR";"Жидкость, солнце, солнечные системы";"кг";"Жидкость для отопительных систем Тепро-30П (теплоноситель пропиленгликоль)";"Строн";"http://atmosfera.ua/images/forshops/tepro-30p.jpg";"Украина";"r";"Теплоноситель Тепро-30П на основе пропиленгликоля специально разработан для использования в отопительных системах. В данном продукте были использованы специальные добавки увеличивающие срок службы теплоносителя при высоких температрурах. ТЕПРО-30П является полностью безопасным и экологически чистым продуктом т.к. пропиленгликоль является пищевой добавкой (Е1520) и не токсичен. Данные теплоносители производятся с добавлением антикоррозионных, противопенных и других специализированных присадок которые значительно увеличивают срок службы жидкости, а так же улучают ее физико-химические свойства. Коррозионная активность пропиленгликоля ниже, чем у большинства известных водных растворов солей и спиртов, что позволяет предъявлять невысокие требования к сортности стали для оборудования и снизить стоимость используемого оборудования. Температура замерзания: -30 °C. Гарантийный срок хранения – 5 лет.";"http://prom.ua/Bytovoj-antifriz-dlya-otopitelnyh-sistem";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ST25/7-180";"ST25/7-180";"+";"141,08";"USD";"циркуляционный насос вило";"шт";"Насос циркуляционный Wilo ST25/7";"Wilo";"http://atmosfera.ua/images/forshops/Wilo-ST25-4.jpg";"Германия";"r";"Одинарный циркуляционный насос с мокрым ротором и резьбовым соединением для использования в гелиотермических установках. Специальная гидравлика для гелиосистем. Катафорезное покрытие для предотвращения коррозии. Графитовые подшипники и полипропеленовая крыльчатка.";"http://prom.ua/Tsirkulyatsionnye-nasosy";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";"";"";"";"Пластик";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";"";"";"0,1";"";"";"";
"DAOA-150";"DAOA-150";"+";"37,95";"EUR";"";"шт";"Комплект консолей для крепления гидравлической стрелки HW 60 к стене";"BRV";"http://atmosfera.ua/images/forshops/BRV_ModvlvS_DAOA.png";"Италия";"r";"Пара кронштейнов для крепления к стене распределительного коллектора с изоляцией 110 х 110 мм. Возможное расстояние (от стены до центра гидравлической стрелки) 150 мм.";"http://prom.ua/Komplektuyuschie-dlya-otopitelnoe-oborudovanie";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"103518MID2.5";"103518MID2.5";"+";"304,46";"EUR";"";"шт";"Комплект счетчика тепла для групп M2 Energy DN20, Qn 2,5, 3/4"", L=130 mm";"BRV";"http://atmosfera.ua/images/forshops/BRV_ModvlvSDN25_103518MID2.5.png";"Италия";"r";"Комплект состоит из: 1 шт. сквозной шаровой кран 3/4'' ВР-ВР. Изготовлен из латуни, с патрубоком М10х1 в тыльной части для погружного датчика температуры ø5x45 мм. Никелированное покрытие. 2 шт. сквозной шаровой кран с 3/4'' ВР x 1'' накидными гайками; изготовлены из латуни. Накидная гайка. Никелированное покрытие. 1 шт. пластиковая вставка DN20 длиной 110 мм 1'' НРаружное резьбовое соединение. Резьбовое соединение соответствует ISO 228 (DIN 259 BSP 2779). Паронитовая прокладка. Шаровые краны оснащаются симметричной ''Т''-образной ручкой. PN 10. Максимальная температура 90°С.";"http://prom.ua/Komplektuyuschie-dlya-otopitelnoe-oborudovanie";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"P*ML(C) 15*1/2: NIKEL";"P*ML(C) 15*1/2: NIKEL";"+";"7,53";"USD";"";"шт";"Кран шаровый для труб Gofraflex P*ML(C) 15*1/2: PLATED NICKEL (папа)";"GofraFlex";"";"Южная Корея";"r";"Кран шаровый для труб Gofraflex P*ML(C) 15*1/2: PLATED NICKEL (папа)";"http://prom.ua/Krany-sharovye";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BV03G3BD25SAV220";"BV03G3BD25SAV220";"+";"87,00";"USD";"";"шт";"Клапан 3-х зонный шаровый с приводом 220В BV03G3BD25SAV220 1""";"HaiLin";"http://atmosfera.ua/images/forshops/HaiLin_BV-G3.png";"Китай";"r";"Клапан 3-х зонный шаровый с приводом 220В BV03G3BD25SAV220 1"". Высокотехнологичный 3-х ходовые запорный клапан имеет поворотный шаровой привод, что обеспечивает не только разграничение потоков, но и герметичность при давлении 10 Бар. Разработанная конструкция внутренних деталей и высокий срок службы сальника отвечают всем требованиям долговременной эксплуатации без обязательного технического обслуживания.";"http://prom.ua/Elektromagnitnye-klapany-dlya-gaza";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1";"";"";"";
"20358 (R)-M3";"20358 (R)-M3";"-";"253,85";"EUR";"Насосная группа, станция, котел, отопление, комплектующие для отопления, гелиосистемы";"шт";"Насосная группа BRV 20358 (R)-M3 с 3-х ходовым смесительным клапаном и перепускным клапан, 3 линии";"BRV";"http://atmosfera.ua/images/forshops/BRV_ModvlvSDN32_M2_MIX3.png, http://atmosfera.ua/images/forshops/BRV_ModvlvSDN32_M2_MIX3_2.png";"Италия";"r";"Насосная группа BRV с 3-х ходовым смесительным клапаном и перепускным клапан, 3 линии, 1"", без насоса";"http://prom.ua/Nasosnye-gruppy";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20355 (R)";"20355 (R)";"+";"144,38";"EUR";"Насосная группа, станция, котел, отопление, комплектующие для отопления, гелиосистемы";"шт";"Насосная группа для твердотопливных котлов и систем отопления BRV 20355 (R) на 2 линии, 1""";"BRV";"http://atmosfera.ua/images/forshops/BRV_ModvlvS_M2_FIX3_CS.png, http://atmosfera.ua/images/forshops/BRV_ModvlvS_M2_FIX3_CS_covered.png";"Италия";"r";"2-линейная насосная группа для твердотопливных котлов и систем отопления BRV с антиконденсационным клапаном без обводного контура (without by-pass). Подключение - 1"".";"http://prom.ua/Nasosnye-gruppy";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"HV 60/125-5";"HV 60/125-5";"+";"359,52";"EUR";"";"шт";"Распределительный коллектор BRV HV 60/125-5";"BRV";"http://atmosfera.ua/images/forshops/BRV_ModvlvS_HV_60-125_SG.png";"Италия";"r";"Распределительный коллектор BRV HV 60/125-5 с теплоизоляцией для систем до 50 кВт для подключения к 5 устройствам DN25. Распределительные коллекторы DN25 для систем отопления изготовлены из сварной оцинкованной или железной трубы, рассчитаны на мощность до 70 кВт. Теплоизоляция из вспенивающегося полистирола толщиной 25 мм соответствует стандарту DIN 4102-B2. Внешний корпус распределительного коллектора выполнен из оцинкованной стали толщиной 0,55 мм. Гидравлическое испытание при 12 бар. Межосевое расстояние между соединениями: 125 мм.";"http://prom.ua/Kollektory";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"031010-50-20";"031010-50-20";"-";"1682,76";"EUR";"";"шт";"Станция ГВС с электронным управлением BRV ModvFresh 3 031010-50-20, 3/4, 50кВт";"BRV";"http://atmosfera.ua/images/forshops/BRV_ModvlvS_ModvFresh_3.png, http://atmosfera.ua/images/forshops/BRV_ModvlvS_ModvFresh_3_2.png, http://atmosfera.ua/images/forshops/BRV_ModvlvS_ModvFresh_3_covered.png";"Италия";"r";"Насосная станция с рециркуляцией для систем ГВС с электронным управлением. Примененяется в системах, где инерционные (без давления) или подобные баки подключены к гелиосистемам, твердотопливным или пеллетным котлам, котлами на биомассе и т.д. В том случае, когда стратификация не является основным требованием. Это устройство с помощью специального электронного контроллера изменяет скорость работы первичного циркуляционного насоса в диапазоне от 12% до максимального значения для обеспечения всегда точной температуры нагреваемой горячей воды (например, 45 °C). Изменение расхода воды немедленно фиксируется цифровым датчиком, который подает данные о температуре и расходе на вход электронного контроллера. Контроллер на основе полученных данных соответственно модулирует работу циркуляционного насоса (пропорционально увеличивая или уменьшая скорость работы).";"http://prom.ua/Nasosnye-gruppy";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
